Wii Sports,Sports,Wii,Nintendo,Nintendo,Sports game with motion controls,PG,,01/01/2006
Super mario bros,Platformer,NES,Nintendo,Nintendo,Classic nintendo platformer,PG,,01/01/1985
Mario Kart Wii,Simulation,Wii,Nintendo,Nintendo,Fun racing game,PG,,01/01/2008
Pokemon Red	Adventure,GameBoy,Nintendo,GameFreak,Classic adventure game with turn based monster fighting,PG,,01/01/1996
Tetris,Puzzle,GameBoy,Nintendo,Tetris co.,Classic falling block puzzle game,PG,,01/01/1989
Grand Theft Auto V,Action,PS3,Rockstar,Take-Two Interactive,Immersive fun R-Rated open world crime-based game,R,,01/01/2013
Call of Duty: Modern Warfare 2,Action,PS3,Infinty ward,Activision,Renowned first-person shooter,R,,01/01/2009
Minecraft,Adventure,PC,Mojang,Microsoft,Block-based sandbox survival adventure,PG,,18/11/2011
Final Fantasy XV,RPG,Xbox One,Square Enix,Square Enix,Modern fantasy JRPG,12,,29/11/2016
Dota 2,Strategy,PC,Valve,Valve,Successful competitive MOBA,12,,09/07/2013
